Artist Name,avg_days_on_chart,avg_peak_streams,total_streams,cluster
$NOT ,11.5,474513.5,7978818,1
$ilkMoney ,9.0,237686.0,1988450,1
$uicideboy$ ,15.428571428571429,364535.21428571426,173610817,1
*NSYNC ,42.666666666666664,580550.6666666666,46041728,1
100 gecs ,1.0,238674.0,238674,1
2 Chainz ,38.63636363636363,373280.8181818182,326838914,1
21 Savage ,56.32786885245902,785671.4098360656,1338289449,0
22 Savage ,16.0,396989.0,5691910,1
220 KID ,1.0,279928.0,279928,1
24kGoldn ,114.75,556776.125,436994290,2
2Pac ,6.333333333333333,344559.6666666667,5374794,1
3 Doors Down ,3.0,141575.0,356925,1
347aidan ,17.0,249593.0,3979796,1
4*TOWN (From Disney and Pixar’s Turning Red) ,40.0,371017.0,11358002,1
42 Dugg ,67.0,407596.0,42041364,1
5 Seconds of Summer ,39.90909090909091,288244.30303030304,373411274,1
50 Cent ,10.666666666666666,212052.0,7362010,1
6LACK ,36.31578947368421,350443.8947368421,155805307,1
6ix9ine ,52.6551724137931,789294.1379310344,659653112,1
88,6.0,689929.0,2015517,1
88rising ,5.333333333333333,318802.0,3727836,1
A,47.0,282063.5,26935067,1
A Boogie Wit da Hoodie ,41.47692307692308,459467.3076923077,997257671,1
A Great Big World ,140.0,103070.0,9694514,2
A R I Z O N A ,15.0,249595.8,17267610,1
A Thousand Horses ,19.0,90606.0,1467142,1
A Tribe Called Quest ,5.066666666666666,173422.53333333333,12671534,1
A$AP ANT ,1.0,315868.0,315868,1
A$AP Ferg ,46.642857142857146,299316.4285714286,217788929,1
A$AP Mob ,12.0,224533.41176470587,36767989,1
A$AP Rocky ,33.361702127659576,462906.829787234,306358439,1
ABBA ,1.3333333333333333,259514.33333333334,992436,1
AC/DC ,11.5,396069.5,6855590,1
ACRAZE ,97.0,505080.0,28832576,2
AJR ,70.0909090909091,313125.9090909091,211449574,1
AURORA ,62.0,444966.0,20740784,1
AWOLNATION ,81.0,88710.5,11497701,1
Aaliyah ,2.0,479548.0,787806,1
Aaron Carter ,64.0,304631.0,15831038,1
Ab,21.0,586151.0,6818033,1
Action Bronson ,4.5,109404.5,837083,1
Adam Lambert ,122.0,187031.0,14862975,2
Addison Rae ,1.0,259340.0,259340,1
Adele ,71.92,1275685.0,687325980,0
Aerosmith ,1.0,100023.0,100023,1
Afrojack ,5.5,142553.5,1059860,1
Agust D ,1.5555555555555556,304289.77777777775,4082083,1
Ajdaguru ,1.0,268902.0,268902,1
Akon ,1.0,132805.0,132805,1
Alabama Shakes ,4.333333333333333,105739.33333333333,1178067,1
Alan Walker ,53.166666666666664,228921.16666666666,70539659,1
Alec Benjamin ,54.333333333333336,389591.3333333333,58545291,1
Alessia Cara ,113.0,422065.2,345449950,2
Alesso ,28.454545454545453,240511.54545454544,55178165,1
Alex Da Kid ,1.0,131144.0,131144,1
Alexander 23 ,24.0,233798.0,5149303,1
Ali Gatie ,94.75,472311.5,131012948,2
Alicia Keys ,2.4,275445.2,2385627,1
Alina Baraz ,1.0,241458.0,241458,1
All Time Low ,80.0,328234.0,19226838,1
Alok ,57.0,217315.0,10630250,1
AlunaGeorge ,11.75,208513.75,14672284,1
Alvin & The Chipmunks ,7.0,480709.0,1865297,1
Aly & AJ ,5.0,558207.0,1870539,1
Amaarae ,97.0,509737.0,29739148,2
Ambjaay ,91.0,335721.0,25195284,1
American Authors ,88.0,146197.0,6587611,1
Aminé ,48.666666666666664,345225.3333333333,269710161,1
Amy Grant ,7.0,558454.0,2326072,1
Amy Kaylee ,2.0,213438.0,412133,1
Anderson .Paak ,2.25,315412.1875,10515618,1
Andreas Weise ,2.0,187927.0,324885,1
Andrew Andraos ,3.0,551784.5,3083851,1
Andrew Gold ,6.0,641652.5,4912485,1
Andrew McMahon in the Wilderness ,1.0,153831.0,307662,1
André Aires ,1.0,243358.0,243358,1
Andy Grammer ,90.66666666666667,329466.0,67623485,1
Andy Williams ,87.0,1414750.6,254524580,0
Anita Kerr Singers ,27.0,557886.0,10475955,1
Anitta ,21.333333333333332,381463.0,17012558,1
Anne,73.5,345447.75,72336846,1
AnnenMayKantereit ,53.0,430044.0,17646543,1
Ant Saunders ,104.0,607388.0,43785355,2
Anuel AA ,22.61111111111111,404274.6666666667,129142828,1
Arcade Fire ,1.0,245545.0,245545,1
Arctic Monkeys ,81.92857142857143,338598.78571428574,318569943,1
Arcángel ,27.0,859987.0,13778260,1
Aretha Franklin ,2.2857142857142856,358379.71428571426,5227467,1
Ariana Grande ,84.22093023255815,1174230.6046511629,3168771349,3
Arizona Zervas ,302.0,1049744.0,336400093,2
Armani White ,101.0,443870.0,33370246,2
Armin van Buuren ,44.0,166741.0,5226099,1
AronChupa ,16.0,91409.0,1045285,1
"Artists Of Then, Now & Forever ",1.0,132847.0,132847,1
Ashe ,40.0,456834.0,29857711,1
Ashley O ,52.0,611800.0,20404924,1
Ashnikko ,79.66666666666667,313909.6666666667,69049062,1
Ast3p ,2.0,266130.0,505884,1
Astrid S ,124.0,330109.0,29711883,2
Asuking ,1.0,272384.0,272384,1
Atlas Genius ,1.0,85355.0,85355,1
Audien ,4.0,124455.0,381703,1
Audioslave ,1.6666666666666667,263770.3333333333,1238980,1
August Alsina ,1.0,148236.0,148236,1
Auli'i Cravalho ,109.0,230020.0,18965464,2
Austin Mahone ,5.0,119557.0,446145,1
Austyn Johnson ,3.0,193675.0,561303,1
Autumn! ,4.0,334380.0,1134385,1
Ava Max ,102.4,393675.0,154585762,2
Aventura ,54.0,777761.5,37739825,1
Avicii ,42.625,518905.875,207074079,1
Avril Lavigne ,3.8,299264.4,4726012,1
Axwell /\ Ingrosso ,37.0,183826.75,39603095,1
Ayo & Teo ,271.0,530153.0,80064354,2
B.B. King ,1.0,86543.33333333333,519260,1
B.o.B ,9.0,57349.666666666664,1449167,1
BANKS ,32.0,111292.0,4993030,1
BANNERS ,18.0,143070.0,6404554,1
BENEE ,176.0,690878.0,86449441,2
BIA ,47.0,489253.6666666667,39632945,1
BLACKPINK ,20.333333333333332,664322.1111111111,139305207,1
BROCKHAMPTON ,8.909090909090908,365440.8787878788,106738299,1
BRONSON ,1.0,236969.0,236969,1
BRS Kash ,20.5,249688.5,9768573,1
BTS ,16.013333333333332,520922.32,455938452,1
BURNS ,1.0,237548.0,237548,1
Baby Keem ,41.08,465438.44,401268879,1
Baby Tate ,4.0,222606.5,1746364,1
Backstreet Boys ,2.0,276423.25,2150881,1
Bad Bunny ,74.63529411764706,906120.6470588235,2789775409,3
Bahari ,1.0,60039.0,60039,1
Bailey Zimmerman ,126.66666666666667,554402.6666666666,135293249,2
Baka Not Nice ,4.0,218549.0,790157,1
Band Aid ,204.0,2071624.0,96606504,0
Banda MS de Sergio Lizárraga ,7.0,310928.0,1754451,1
Bankrol Hayden ,7.666666666666667,259870.33333333334,5060746,1
Bankroll Fresh ,6.0,113317.0,620415,1
Bas ,7.666666666666667,417945.6666666667,7140844,1
Bass Santana ,1.6666666666666667,293504.6666666667,1496839,1
Bastille ,65.0,172442.8,32462752,1
Baxuz ,2.0,265334.0,505530,1
Bazzi ,84.82352941176471,441591.64705882355,544247268,1
Bea Miller ,14.666666666666666,146442.0,10181936,1
