actual,pred_lr,pred_rf
1827222,-2875523.2487457395,1908152.84
3653700,6363468.533501279,8532384.38
232919,3116938.7401728444,232925.34
559587,-1226720.9396564923,469401.1
841325,-2726765.819857156,1003174.02
96363563,116374637.0993453,88231608.02
154969059,142584204.95778224,152860496.44
948444,-6036024.593939573,1026833.29
287601,-2024862.8377257194,287565.31
711994,-3307709.3517673593,733546.18
10308797,29441740.40229469,12081673.74
280927,-2230298.1527361497,280894.42
1290650,1898192.08851742,1073138.1
2509989,9149171.844937112,2461935.48
336826,-4491975.154905254,336894.33
1125921,-3806764.9478887487,1213945.11
771923,-1033656.1289289556,722831.56
532392,-3888573.0218920317,471856.02
7922944,5340072.134556238,6875920.41
293083,-3362925.9264004175,274486.2
16193932,26051822.48753017,23574849.4
250447,-851275.5866734274,250460.91
340110,-2919196.2947994415,340163.86
728077,-4904580.40530806,704791.42
5068705,5017088.670687288,4887466.7
252646,-1315634.9193256013,252685.14
290105,-2988026.744696982,290195.23
2697734,-652028.9697913826,2445583.59
13403304,10670091.95070577,12549638.52
7314871,8887249.913397454,5317643.18
33680519,53427810.34864575,36314251.44
80978407,89749477.34603733,88763612.97
265518,2869214.8730406873,265535.77
7438635,5950638.04648694,7494369.33
591276,-1916358.0996336546,519061.88
546074,-1433355.956532916,558937.82
42097376,53696239.04020022,40437844.76
972134,-592005.5067514703,912704.35
176306,-3040227.064959785,176397.45
1355522,1829108.8811210245,1228970.42
2616199,-609805.9851390943,3257329.96
118685,-305515.7669520639,118796.29
29128818,29235863.891005408,31458118.83
1740523,-2471083.3479583617,1470931.38
243884,2475768.010199107,243868.25
144542,-1432380.2428600676,144363.67
48528205,58300044.31880605,48864954.9
4010971,-152191.22666793317,4032044.77
2839698,-3275528.5087226126,2985398.43
38279853,41181331.3014462,43880660.94
22808428,25069509.764825974,25362126.08
272293130,185705399.6138093,217017855.12
1203913,-4581397.530789832,1119355.42
521180,-1035069.8410174251,586748.74
1202293,-6322868.182077989,1178925.16
32383116,22654168.131663095,22358100.75
925999,-2724761.7460239455,984858.4
31617689,32791870.820891242,29524196.72
9996717,18511728.297886107,13400713.06
1627692,-1591073.6186557524,1609194.2
258896,-277324.9184750654,259038.95
79167125,86762041.56148009,82122170.93
591602,-3310532.761847483,612367.13
268580,-202380.88337224722,276254.25
198073,2315094.6120763496,198216.23
11658073,47967154.716829136,15091221.85
241518,2012445.8557598926,241459.16
44876389,47406629.33181295,49991453.37
4315586,4105167.796602331,3747962.8
908097,-3574421.937993778,1020657.35
101797919,93837346.7535071,91058077.87
3564796,1624391.6034538671,3374638.66
280571,-975893.9023990445,280596.32
310377,-854119.797647208,310451.68
3635477,-2792102.5396150667,3640623.76
86829715,150731597.82897633,95718646.49
280226,-2915515.5045665875,280223.91
12237338,20609399.908595394,20542656.24
91144161,121061707.56900507,136989433.96
